code,title_ko,level,parent_code,name_en
1,관리자,major,,
11,의회·정부 및 기업 고위직,middle,1,
111,의회 의원·고위 공무원 및 공공단체 임원,minor,11,
1111,의회 의원,unit,111,Legislators
1112,고위 공무원 및 정당·특수 단체 임원,unit,111,"Senior Government Officials, Political Party Members, and Special Organization Members"
112,기업 대표 및 기업 고위 임원,minor,11,
1120,기업 대표 및 기업 고위 임원,unit,112,Business Leaders and Business Senior Executives
12,행정·경영 지원 및 마케팅 관리직,middle,1,
121,행정 및 경영 지원 관리자,minor,12,
1211,정부 행정 관리자,unit,121,Government Administration Managers
1212,경영 지원 관리자,unit,121,Business Support Managers
122,마케팅 및 광고·홍보 관리자,minor,12,
1220,마케팅 및 광고·홍보 관리자,unit,122,"Marketing, Advertising and Public Relations Managers"
13,전문 서비스 관리직,middle,1,
131,연구·교육 및 법률 관련 관리자,minor,13,
1311,연구 관리자,unit,131,Research Managers
1312,교육 관리자,unit,131,Education Managers
1313,법률·경찰·소방 및 교도 관리자,unit,131,"Legal, Police, Fire, and Jail Administration Managers"
132,보험 및 금융 관리자,minor,13,
1320,보험 및 금융 관리자,unit,132,Insurance and Finance Managers
133,보건 및 사회복지 관련 관리자,minor,13,
1331,보건 의료 관련 관리자,unit,133,Health and Medical Service Managers
1332,사회복지 관련 관리자,unit,133,Social Welfare Service Managers
134,문화·예술 관련 관리자,minor,13,
1340,문화·예술 관련 관리자,unit,134,Culture and Art-related Managers
135,정보 통신 관련 관리자,minor,13,
1350,정보 통신 관련 관리자,unit,135,Information and Communications-related Managers
139,기타 전문 서비스 관리자,minor,13,
1390,기타 전문 서비스 관리자,unit,139,Other Professional Services Managers
14,건설·전기 및 생산 관련 관리직,middle,1,
141,건설·전기 및 생산 관련 관리자,minor,14,
1411,건설 및 광업 관련 관리자,unit,141,Construction and Mining-related Managers
1412,전기·가스 및 수도 관련 관리자,unit,141,"Electricial, Water, and Gas Service-related Administrators"
1413,제품 생산 관련 관리자,unit,141,Production-related Managers
149,기타 건설·전기 및 생산 관련 관리자,minor,14,
1490,기타 건설·전기 및 생산 관련 관리자,unit,149,"Other Construction, Electrical, and Production-related Managers"
15,판매 및 고객 서비스 관리직,middle,1,
151,판매 및 운송 관리자,minor,15,
1511,영업 및 판매 관련 관리자,unit,151,Commerce and Sales-related Managers
1512,운송 관련 관리자,unit,151,Transport-related Managers
152,고객 서비스 관리자,minor,15,
1521,숙박·여행·오락 및 스포츠 관련 관리자,unit,152,"Lodging, Tourism, Entertainment, and Sports-related Managers"
1522,음식 서비스 관련 관리자,unit,152,Food Service-related Managers
153,환경·청소 및 경비 관련 관리자,minor,15,
1530,환경·청소 및 경비 관련 관리자,unit,153,"Environmental, Cleaning, and Protective Services-related Managers"
159,기타 판매 및 고객 서비스 관리자,minor,15,
1590,기타 판매 및 고객 서비스 관리자,unit,159,Other Sales and Customer Service Managers
2,전문가 및 관련 종사자,major,,
21,과학 전문가 및 관련직,middle,2,
211,생명 및 자연과학 관련 전문가,minor,21,
2111,생명과학 연구원,unit,211,Biological Science Researchers
2112,자연과학 연구원,unit,211,Natural Science Researchers
212,인문 및 사회과학 전문가,minor,21,
2121,인문과학 연구원,unit,212,Liberal Arts Researchers
2122,사회과학 연구원,unit,212,Social Science Researchers
213,생명 및 자연과학 관련 시험원,minor,21,
2131,생명과학 시험원,unit,213,Biological Science Technicians
2132,농림어업 관련 시험원,unit,213,"Agriculture, Forestry, and Fisheries-related Technicians"
2133,자연과학 시험원,unit,213,Natural Science-related Technicians
22,정보 통신 전문가 및 기술직,middle,2,
221,컴퓨터 하드웨어 및 통신공학 전문가,minor,22,
2211,컴퓨터 하드웨어 기술자 및 연구원,unit,221,Computer Hardware Researchers and Engineers
2212,통신공학 기술자 및 연구원,unit,221,Telecommunication Engineering Researchers and Engineers
222,컴퓨터 시스템 및 소프트웨어 전문가,minor,22,
2221,컴퓨터 시스템 전문가,unit,222,Computer System Professionals
2222,시스템 소프트웨어 개발자,unit,222,System Software Developers
2223,응용 소프트웨어 개발자,unit,222,Application Software Developers
2224,웹 개발자,unit,222,Web Developers
2229,기타 컴퓨터 시스템 및 소프트웨어 전문가,unit,222,Other Computer System and Application Software Developers
223,네트워크 및 정보 보안 전문가,minor,22,
2231,네트워크 시스템 개발자,unit,223,Network System Developers
2232,정보 보안 전문가,unit,223,Information and Computer Security Professionals
2239,기타 네트워크 및 정보 보안 전문가,unit,223,Other Network and Information Security Specialists
224,데이터 전문가,minor,22,
