code,title_ko,level,parent_code
1,관리자,major,
11,의회‧정부 및 기업 고위직,middle,1
111,의회 의원‧고위 공무원 및 공공단체 임원,minor,11
1111,의회 의원,unit,111
11111,국회의원,detailed_unit,1111
11112,지방 의회 의원,detailed_unit,1111
1112,고위 공무원,unit,111
11121,중앙 정부 고위 공무원,detailed_unit,1112
11122,지방 정부 고위 공무원,detailed_unit,1112
11123,공공 행정기관 고위직,detailed_unit,1112
1113,공공단체 임원,unit,111
11130,공공단체 임원,detailed_unit,1113
112,기업 고위 임원,minor,11
1120,기업 고위 임원,unit,112
11201,기업 고위 임원,detailed_unit,1120
12,행정‧경영 지원 및 마케팅 관리직,middle,1
121,행정 및 경영 지원 관리자,minor,12
1211,정부행정 관리자,unit,121
12110,정부행정 관리자,detailed_unit,1211
1212,경영 지원 관리자,unit,121
12121,총무 및 인사 관리자,detailed_unit,1212
12122,기획 및 전략 관리자,detailed_unit,1212
12123,재무 관리자,detailed_unit,1212
12124,자재 및 구매 관리자,detailed_unit,1212
12129,그 외 경영 지원 관리자,detailed_unit,1212
1213,회계‧세무 및 감정 평가 관리자,unit,121
12131,회계 관리자,detailed_unit,1213
12132,세무 관리자,detailed_unit,1213
12133,감정 평가 관리자,detailed_unit,1213
1214,광고‧조사 및 상품기획‧행사기획 관리자,unit,121
12141,광고 및 홍보 관리자,detailed_unit,1214
12142,조사 및 연구 관리자,detailed_unit,1214
12143,상품 기획 관리자,detailed_unit,1214
12144,행사 기획 관리자,detailed_unit,1214
1215,정부 행정 전문가,unit,121
12150,정부 행정 전문가,detailed_unit,1215
122,마케팅 및 광고‧홍보 관리자,minor,12
1221,마케팅 관리자,unit,122
12210,마케팅 관리자,detailed_unit,1221
1222,광고 및 홍보 관리자,unit,122
12220,광고 및 홍보 관리자,detailed_unit,1222
1223,조사 및 연구 관리자,unit,122
12230,조사 및 연구 관리자,detailed_unit,1223
13,전문 서비스 관리직,middle,1
131,연구‧교육 및 법률 관련 관리자,minor,13
1311,연구 관리자,unit,131
13110,연구 관리자,detailed_unit,1311
1312,교육 관리자,unit,131
13120,교육 관리자,detailed_unit,1312
1313,법률 관리자,unit,131
13130,법률 관리자,detailed_unit,1313
132,보험 및 금융 관리자,minor,13
1320,보험 및 금융 관리자,unit,132
13201,보험 관리자,detailed_unit,1320
13202,금융 관리자,detailed_unit,1320
133,사회복지 및 종교 관련 관리자,minor,13
1330,사회복지 및 종교 관련 관리자,unit,133
13301,사회복지 관리자,detailed_unit,1330
13302,종교 관리자,detailed_unit,1330
134,보건 의료 관련 관리자,minor,13
1340,보건 의료 관련 관리자,unit,134
13401,보건 의료 관리자,detailed_unit,1340
13402,의료 서비스 관리자,detailed_unit,1340
135,문화‧예술‧디자인 및 영상 관련 관리자,minor,13
1350,문화‧예술‧디자인 및 영상 관련 관리자,unit,135
13501,문화 및 예술 관리자,detailed_unit,1350
13502,디자인 관리자,detailed_unit,1350
13503,영상 관련 관리자,detailed_unit,1350
14,건설‧전기 및 생산 관련 관리직,middle,1
141,건설‧전기 및 생산 관련 관리자,minor,14
1411,건설 및 광업 관련 관리자,unit,141
14110,건설 및 광업 관련 관리자,detailed_unit,1411
1412,전기‧가스 및 수도 관련 관리자,unit,141
14120,전기‧가스 및 수도 관련 관리자,detailed_unit,1412
1413,제품 생산 관련 관리자,unit,141
14130,제품 생산 관련 관리자,detailed_unit,1413
1414,운송 관련 관리자,unit,141
14140,운송 관련 관리자,detailed_unit,1414
15,판매 및 고객 서비스 관리직,middle,1
151,판매 및 고객 서비스 관리자,minor,15
1511,영업 및 판매 관련 관리자,unit,151
15110,영업 및 판매 관련 관리자,detailed_unit,1511
1512,숙박‧여행‧오락 및 스포츠 관련 관리자,unit,151
15120,숙박‧여행‧오락 및 스포츠 관련 관리자,detailed_unit,1512
1513,음식 서비스 관련 관리자,unit,151
15130,음식 서비스 관련 관리자,detailed_unit,1513
2,전문가 및 관련 종사자,major,
21,과학 전문가 및 관련직,middle,2
211,생명 및 자연 과학 관련 전문가,minor,21
2111,생명과학 연구원 및 시험원,unit,211
21111,생명과학 연구원,detailed_unit,2111
21112,생명과학 시험원,detailed_unit,2111
2112,자연과학 연구원 및 시험원,unit,211
21121,자연과학 연구원,detailed_unit,2112
21122,자연과학 시험원,detailed_unit,2112
212,인문‧사회과학 연구원,minor,21
2121,인문과학 연구원,unit,212
21210,인문과학 연구원,detailed_unit,2121
2122,사회과학 연구원,unit,212
21220,사회과학 연구원,detailed_unit,2122
