code,title_ko,level,parent_code
A,"농업, 임업 및 어업",major,
B,광업,major,
C,제조업,major,
D,"전기, 가스, 증기 및 공기조절 공급업",major,
E,"수도, 하수 및 폐기물 처리, 원료 재생업",major,
F,건설업,major,
G,도매 및 소매업,major,
H,운수 및 창고업,major,
I,숙박 및 음식점업,major,
J,정보통신업,major,
K,금융 및 보험업,major,
L,부동산업,major,
M,"전문, 과학 및 기술 서비스업",major,
N,"사업시설 관리, 사업 지원 및 임대 서비스업",major,
O,"공공 행정, 국방 및 사회보장 행정",major,
P,교육 서비스업,major,
Q,보건업 및 사회복지 서비스업,major,
R,"예술, 스포츠 및 여가관련 서비스업",major,
S,"협회 및 단체, 수리 및 기타 개인 서비스업",major,
T,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,major,
U,국제 및 외국기관,major,
