code,title_ko,level,parent_code
1,관리자,major,
2,전문가 및 관련 종사자,major,
3,사무 종사자,major,
4,서비스 종사자,major,
5,판매 종사자,major,
6,농림어업 숙련 종사자,major,
7,기능원 및 관련 기능 종사자,major,
8,장치·기계 조작 및 조립 종사자,major,
9,단순 노무 종사자,major,
A,군인,major,
11,의회-정부 및 기업 고위직,middle,1
12,행정-경영 지원 및 마케팅 관리직,middle,1
13,전문 서비스 관리직,middle,1
14,건설-전기 및 생산 관련 관리직,middle,1
15,판매 및 고객 서비스 관리직,middle,1
21,과학 전문가 및 관련직,middle,2
22,정보 통신 전문가 및 기술직,middle,2
23,공학 전문가 및 기술직,middle,2
24,보건 전문가 및 관련직,middle,2
25,사회복지-종교 전문가 및 관련직,middle,2
26,교육 전문가 및 관련직,middle,2
27,법률 및 행정 전문직,middle,2
28,경영-금융 전문가 및 관련직,middle,2
29,문화-예술-스포츠-기타 전문가 및 관련직,middle,2
31,기획-영업 및 인사 사무직,middle,3
32,자재-생산 및 운송 사무직,middle,3
33,회계-경리 및 통계 사무직,middle,3
34,금융 사무직,middle,3
35,법률-감사 및 정부 행정 사무직,middle,3
36,상담-안내 및 접수 사무직,middle,3
37,일반 지원 사무직,middle,3
41,경찰-소방 및 보안 관련 서비스직,middle,4
42,돌봄 및 보건 서비스직,middle,4
43,개인 생활 서비스직,middle,4
44,운송 및 여가 서비스직,middle,4
45,조리 및 음식 서비스직,middle,4
51,영업직,middle,5
52,매장 판매 및 상품 대여직,middle,5
53,통신 및 방문-노점 판매 관련직,middle,5
61,농축산 숙련직,middle,6
62,임업 숙련직,middle,6
63,어업 숙련직,middle,6
71,식품 가공 관련 기능직,middle,7
72,섬유-의복 및 가죽 관련 기능직,middle,7
73,목재-가구-악기 및 간판 관련 기능직,middle,7
74,금속 성형 관련 기능직,middle,7
75,운송 및 기계 관련 기능직,middle,7
76,전기 및 전자 관련 기능직,middle,7
77,정보 통신 및 방송장비 관련 기능직,middle,7
78,건설 및 채굴 관련 기능직,middle,7
79,기타 기능 관련직,middle,7
81,식품가공 관련 기계 조작직,middle,8
82,섬유 및 신발 관련 기계 조작직,middle,8
83,화학 관련 기계 조작직,middle,8
84,금속 및 비금속 관련 기계 조작직,middle,8
85,기계 제조-관련 기계 조작 및 조립직,middle,8
86,전기-전자 관련 기계 조작 및 조립직,middle,8
87,운전 및 운송 관련 기계 조작직,middle,8
88,상하수도 및 재활용 처리 관련 기계 조작직,middle,8
89,목재-인쇄 및 기타 기계 조작직,middle,8
91,건설 및 광업 관련 단순 노무직,middle,9
92,운송 관련 단순 노무직,middle,9
93,제조 관련 단순 노무직,middle,9
94,청소 및 건물 관리 단순 노무직,middle,9
95,가사-음식 및 판매 관련 단순 노무직,middle,9
99,농림어업 및 기타 서비스 단순 노무직,middle,9
A0,군인,middle,A
