manual,sub_code,pdf_mentions,hwp_mentions,source_agreement
visa,A-3-99,1,1,both
visa,C-3-1,23,23,both
visa,C-3-10,7,7,both
visa,C-3-11,1,1,both
visa,C-3-2,20,20,both
visa,C-3-3,10,10,both
visa,C-3-4,15,15,both
visa,C-3-5,2,2,both
visa,C-3-6,4,4,both
visa,C-3-7,1,1,both
visa,C-3-8,14,14,both
visa,C-3-9,11,11,both
visa,C-3-91,1,1,both
visa,C-4-1,6,6,both
visa,C-4-2,1,1,both
visa,C-4-3,1,1,both
visa,C-4-4,1,1,both
visa,C-4-5,9,9,both
visa,D-10-1,13,13,both
visa,D-10-2,7,7,both
visa,D-10-3,7,7,both
visa,D-10-T,8,8,both
visa,D-2-1,8,8,both
visa,D-2-2,2,2,both
visa,D-2-3,2,2,both
visa,D-2-4,8,8,both
visa,D-2-5,10,10,both
visa,D-2-6,7,7,both
visa,D-2-7,3,3,both
visa,D-2-8,5,5,both
visa,D-3-1,5,5,both
visa,D-3-11,2,2,both
visa,D-3-12,1,1,both
visa,D-3-13,1,1,both
visa,D-4-1,13,13,both
visa,D-4-2,1,2,both
visa,D-4-2K,6,6,both
visa,D-4-3,2,2,both
visa,D-4-5,1,1,both
visa,D-4-6,8,8,both
visa,D-4-7,6,6,both
visa,D-8-1,3,3,both
visa,D-8-2,2,2,both
visa,D-8-3,3,3,both
visa,D-8-4,3,3,both
visa,D-8-4S,2,2,both
visa,E-10-1,3,3,both
visa,E-10-2,3,3,both
visa,E-10-3,3,3,both
visa,E-2-1,2,2,both
visa,E-2-2,2,2,both
visa,E-6-1,2,2,both
visa,E-6-2,3,3,both
visa,E-6-3,1,1,both
visa,E-7-1,6,6,both
visa,E-7-2,2,2,both
visa,E-7-3,9,9,both
visa,E-7-4,27,27,both
visa,E-7-91,1,1,both
visa,E-7-S,6,6,both
visa,E-7-S1,3,3,both
visa,E-7-S2,3,3,both
visa,E-7-T,7,7,both
visa,E-7-Y,4,4,both
visa,E-8-1,3,3,both
visa,E-8-2,3,3,both
visa,E-8-3,3,3,both
visa,E-8-4,3,3,both
visa,E-8-5,3,3,both
visa,E-8-6,3,3,both
visa,E-8-7,3,3,both
visa,E-8-8,3,3,both
visa,E-8-99,3,3,both
visa,E-9-1,1,1,both
visa,E-9-10,1,1,both
visa,E-9-2,1,1,both
visa,E-9-3,1,1,both
visa,E-9-4,3,3,both
visa,E-9-5,1,1,both
visa,E-9-9,1,1,both
visa,F-1-12,1,1,both
visa,F-1-13,1,1,both
visa,F-1-15,2,2,both
visa,F-1-21,3,3,both
visa,F-1-22,3,3,both
visa,F-1-23,2,2,both
visa,F-1-24,3,3,both
visa,F-1-3,3,3,both
visa,F-1-5,8,8,both
visa,F-1-51,1,1,both
visa,F-1-72,1,1,both
visa,F-1-D,1,1,both
visa,F-2-2,3,3,both
visa,F-2-3,2,2,both
visa,F-2-7,13,13,both
visa,F-2-71,11,11,both
visa,F-2-7S,8,8,both
visa,F-2-T,2,2,both
visa,F-3-18,1,1,both
visa,F-3-19,2,2,both
visa,F-3-20,2,2,both
visa,F-4-41,2,2,both
visa,F-4-42,2,2,both
visa,F-4-R,1,1,both
visa,F-5-11,1,1,both
visa,F-5-12,1,1,both
visa,F-5-14,5,5,both
