status_code,sub_code,sub_code_type,korean_status_name,korean_subcode_name,manual_source_file,section_title,page_reference,procedure_types_found,required_documents_listed,extraction_status,notes
A-1,,see_subrows,외교,,visa_manual_2026_05.pdf,외교,7-9,visa_issuance,yes,EXTRACTED,1 subcode mentions; 1 doc blocks
A-1,F-1-3,explicit_code,외교,,visa_manual_2026_05.pdf,외교,7-9,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
A-2,,see_subrows,공무,,visa_manual_2026_05.pdf,공무,10-12,activity_outside_status;visa_issuance,yes,EXTRACTED,1 subcode mentions; 1 doc blocks
A-2,F-1-3,explicit_code,공무,,visa_manual_2026_05.pdf,공무,10-12,activity_outside_status;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
A-3,,see_subrows,협정,,visa_manual_2026_05.pdf,협정,13-13,registration;visa_issuance,yes,EXTRACTED,1 subcode mentions; 1 doc blocks
A-3,A-3-99,explicit_code,협정,,visa_manual_2026_05.pdf,협정,13-13,registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
B-1,,see_subrows,사증면제,,visa_manual_2026_05.pdf,사증면제,14-21,extension;reentry;visa_issuance,no,PARTIAL,1 subcode mentions; 0 doc blocks
B-1,C-3-4,explicit_code,사증면제,,visa_manual_2026_05.pdf,사증면제,14-21,extension;reentry;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
B-2,,none_found,관광통과,,visa_manual_2026_05.pdf,관광통과,22-24,change_of_status;extension;reentry;visa_issuance,no,NEEDS_REVIEW,0 subcode mentions; 0 doc blocks
C-1,,none_found,일시취재,,visa_manual_2026_05.pdf,일시취재,25-26,change_of_status;visa_issuance,yes,EXTRACTED,0 subcode mentions; 2 doc blocks
C-3,,see_subrows,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,yes,EXTRACTED,14 subcode mentions; 15 doc blocks
C-3,C-3-1,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-10,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-11,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-2,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-3,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-4,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-5,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-6,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-7,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-8,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-9,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,C-3-91,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
