parent_status_code,parent_status_name,sub_code_or_scenario,sub_code_type,manual_source_file,page_reference,requirements_differ_from_parent,separate_document_list_exists,confidence,recommended_label
A-1,외교,F-1-3,explicit_code,visa_manual_2026_05.pdf,7-9,unclear,unclear,MEDIUM,F-1-3
A-2,공무,F-1-3,explicit_code,visa_manual_2026_05.pdf,10-12,unclear,unclear,MEDIUM,F-1-3
A-3,협정,A-3-99,explicit_code,visa_manual_2026_05.pdf,13-13,unclear,unclear,MEDIUM,A-3-99
B-1,사증면제,C-3-4,explicit_code,visa_manual_2026_05.pdf,14-21,unclear,unclear,MEDIUM,C-3-4
C-3,단기방문,C-3-1,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-1
C-3,단기방문,C-3-10,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-10
C-3,단기방문,C-3-11,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-11
C-3,단기방문,C-3-2,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-2
C-3,단기방문,C-3-3,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-3
C-3,단기방문,C-3-4,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-4
C-3,단기방문,C-3-5,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-5
C-3,단기방문,C-3-6,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-6
C-3,단기방문,C-3-7,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-7
C-3,단기방문,C-3-8,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-8
C-3,단기방문,C-3-9,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-9
C-3,단기방문,C-3-91,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,C-3-91
C-3,단기방문,D-3-1,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,D-3-1
C-3,단기방문,G-1-10,explicit_code,visa_manual_2026_05.pdf,27-50,unclear,unclear,MEDIUM,G-1-10
C-4,단기취업,C-4-1,explicit_code,visa_manual_2026_05.pdf,51-59,unclear,unclear,MEDIUM,C-4-1
C-4,단기취업,C-4-2,explicit_code,visa_manual_2026_05.pdf,51-59,unclear,unclear,MEDIUM,C-4-2
C-4,단기취업,C-4-3,explicit_code,visa_manual_2026_05.pdf,51-59,unclear,unclear,MEDIUM,C-4-3
C-4,단기취업,C-4-4,explicit_code,visa_manual_2026_05.pdf,51-59,unclear,unclear,MEDIUM,C-4-4
C-4,단기취업,C-4-5,explicit_code,visa_manual_2026_05.pdf,51-59,unclear,unclear,MEDIUM,C-4-5
D-1,문화예술,C-3-1,explicit_code,visa_manual_2026_05.pdf,60-61,unclear,unclear,MEDIUM,C-3-1
D-2,유학,D-2-1,explicit_code,visa_manual_2026_05.pdf,62-69,unclear,unclear,MEDIUM,D-2-1
D-2,유학,D-2-2,explicit_code,visa_manual_2026_05.pdf,62-69,unclear,unclear,MEDIUM,D-2-2
D-2,유학,D-2-3,explicit_code,visa_manual_2026_05.pdf,62-69,unclear,unclear,MEDIUM,D-2-3
D-2,유학,D-2-4,explicit_code,visa_manual_2026_05.pdf,62-69,unclear,unclear,MEDIUM,D-2-4
D-2,유학,D-2-5,explicit_code,visa_manual_2026_05.pdf,62-69,unclear,unclear,MEDIUM,D-2-5
D-2,유학,D-2-6,explicit_code,visa_manual_2026_05.pdf,62-69,unclear,unclear,MEDIUM,D-2-6
D-2,유학,D-2-7,explicit_code,visa_manual_2026_05.pdf,62-69,unclear,unclear,MEDIUM,D-2-7
D-2,유학,D-2-8,explicit_code,visa_manual_2026_05.pdf,62-69,unclear,unclear,MEDIUM,D-2-8
D-2,유학,D-4-1,explicit_code,visa_manual_2026_05.pdf,62-69,unclear,unclear,MEDIUM,D-4-1
