status_code,sub_code,issue,why_risky,evidence_missing,recommended_label,recommended_next_action
B-1,,no doc block auto-detected,non-standard layout or cross-reference only,manual check of 제출/첨부서류,NEEDS_REVIEW,inspect pg14-21
B-2,,no doc block auto-detected,non-standard layout or cross-reference only,manual check of 제출/첨부서류,NEEDS_REVIEW,inspect pg22-24
C-3,C-3-1;C-3-10;C-3-11;C-3-2;C-3-3;C-3-4…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment C-3 (pg27-50)
D-2,D-2-1;D-2-2;D-2-3;D-2-4;D-2-5;D-2-6…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment D-2 (pg62-69)
D-4,C-3-1;D-4-1;D-4-2K;D-4-3;D-4-5;D-4-6…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment D-4 (pg73-87)
D-10,D-10-1;D-10-2;D-10-3;D-10-T;D-2-5;D-2-6…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment D-10 (pg122-135)
D-10,,no doc block auto-detected,non-standard layout or cross-reference only,manual check of 제출/첨부서류,NEEDS_REVIEW,inspect pg122-135
E-7,C-4-5;D-10-3;D-2-7;D-4-1;D-4-6;E-7-1…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment E-7 (pg168-277)
E-8,C-4-1;E-8-1;E-8-2;E-8-3;E-8-4;E-8-5…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment E-8 (pg278-283)
F-1,F-1-13;F-1-15;F-1-21;F-1-22;F-1-23;F-1-24…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment F-1 (pg297-307)
H-2,C-3-8;F-1-72;F-4-41;F-4-42;F-4-R;F-5-11…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment H-2 (pg379-414)
F-4,,no doc block auto-detected,non-standard layout or cross-reference only,manual check of 제출/첨부서류,NEEDS_REVIEW,inspect pg415-444
C-3,C-3-1;C-3-10;C-3-2;C-3-3;C-3-4;C-3-5…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment C-3 (pg27-28)
D-2,D-2-1;D-2-2;D-2-3;D-2-4;D-2-5;D-2-6…,many sub-codes; per-subcode doc lists not machine-separated,doc blocks not attributed to specific sub-codes,per-sub-code boundary + own 제출서류 list,SUBCODE_AMBIGUITY_REVIEW,manually segment D-2 (pg35-55)
